company_name,effective_from,effective_to
OTIS Elevator Company (India) Ltd.,1998-08-01,2003-05-02
Opto Circuits (I) Ltd.,2011-03-25,2016-04-01
Orbit Corporation Ltd.,2011-03-24,2014-09-19
Orchid Chemicals & Pharmaceuticals Ltd.,1998-08-01,2015-09-28
Orient Information Technologies Ltd.,2000-12-13,2007-04-04
Oriental Bank of Commerce,1998-08-01,2019-12-27
Origin Agrostar Ltd.,2000-11-29,2001-12-07
Orkay Industries Ltd.,1998-08-01,1999-02-03
Oswal Chemicals & Fertilizers Ltd.,1998-08-01,2004-03-15
Oswal Chemicals & Fertilizers Ltd.,2007-09-24,2016-04-01
Oudh Sugar Mills Ltd.,1998-08-01,2002-04-23
PHIL Corporation Ltd.,1998-08-01,2002-04-23
PSI Data Systems Ltd.,1999-12-08,2004-03-15
PSL Ltd.,2002-09-19,2014-03-28
Padmini Technologies Ltd.,2001-06-20,2003-01-21
Panasonic AVC Networks India Co. Ltd.,2002-09-19,2002-11-11
Paper Products Ltd.,1999-09-08,2002-09-19
Paper Products Ltd.,2003-04-01,2012-04-27
Parekh Platinum Ltd.,1998-08-01,2004-12-10
Parke-Davis (India) Ltd.,1998-08-01,2003-03-06
Patheja Forgings & Auto Parts Manufacturers Ltd.,1998-08-01,1999-09-08
Patni Computer Systems Ltd.,2004-12-10,2012-05-21
Peacock Industries Ltd.-old,1998-08-01,1999-05-26
Pearl Global Industries Ltd.,2008-02-15,2011-03-25
Pentafour Products Ltd.,1999-09-08,2001-04-25
Pentamedia Graphics Ltd.,1998-08-01,2006-09-13
Pentasoft Technologies Ltd.,2000-12-13,2006-09-13
Pharmacia Healthcare Ltd.,1999-12-08,2005-03-04
Philips India Ltd.,1998-08-01,2002-09-19
Pipavav Defence and Offshore Engineering Company Ltd.,2011-03-25,2019-03-29
Piramal Holdings Ltd.-Delisted,1998-08-01,1999-02-03
Polaris Consulting & Services Ltd.,2016-04-01,2018-02-05
Polaris Financial Technology Ltd.,2000-05-24,2014-09-19
Precision Fasteners Ltd.,1998-08-01,1999-03-17
Provogue (India) Ltd.,2007-09-24,2012-03-07
Pudumjee Pulp & Paper Mills Ltd.,1998-08-01,2007-09-24
Punj Lloyd Ltd.,2006-08-10,2017-09-29
Punjab Alkalies & Chemicals Ltd.,1998-08-01,2000-09-03
Punjab Anand Lamp Industries Ltd.,1999-09-08,2002-07-09
Punjab Tractors Ltd.,1998-08-01,2009-02-25
Punjab Wireless Systems Ltd.,1998-08-01,2000-01-12
Puravankara Projects Ltd.,2009-03-27,2016-09-30
RPG Cables Ltd.,1998-08-01,2004-12-10
RPG Transmission Ltd.,1998-08-01,2002-04-23
Raasi Cement Ltd.- Sus,1998-08-01,2000-02-16
Rain Calcining Ltd.,1999-12-08,2007-12-26
Rajinder Steels Ltd.,1998-08-01,1999-09-08
Ranbaxy Laboratories Ltd.,1998-08-01,2014-11-28
Rane Brake Linings Ltd. -old,2004-04-16,2008-02-15
Rane Engine Valves Ltd. -old,2004-03-22,2008-02-15
Rasoya Proteins Ltd.,2013-09-27,2015-09-28
Ravalgaon Sugar Farm Ltd.,1998-08-01,1999-02-03
Rayban Sun Optics India Ltd.,1999-05-26,2003-04-01
Reckitt Benckiser (India) Ltd,1998-08-01,2003-03-27
