date,portfolio_value,cash,invested,benchmark,drawdown,exposure
2021-10-01,3504999.3327835947,1.4551915228366852e-11,3504999.3327835947,17778.55,0.0,1.0
2021-10-04,3572387.7093072194,1.4551915228366852e-11,3572387.7093072194,17956.75,0.0,1.0
2021-10-05,3591834.9820327507,1.4551915228366852e-11,3591834.9820327507,18082.8,0.0,1.0
2021-10-06,3537039.930999499,1.4551915228366852e-11,3537039.930999499,17905.84,-0.015255447788484311,1.0
2021-10-07,3567752.3495371128,1.4551915228366852e-11,3567752.3495371128,18058.0,-0.006704827091474241,1.0
2021-10-08,3596310.718835201,1.4551915228366852e-11,3596310.718835201,18141.7,0.0,1.0
2021-10-11,3635340.772938135,0.0,3635340.772938135,18198.9,0.0,1.0
2021-10-12,3652720.6661336157,0.0,3652720.6661336157,18258.84,0.0,1.0
2021-10-13,3718814.742545669,0.0,3718814.742545669,18433.2,0.0,1.0
2021-10-14,3738674.4720943905,0.0,3738674.4720943905,18610.34,0.0,1.0
2021-10-18,3790364.1135888887,0.0,3790364.1135888887,18734.9,0.0,1.0
2021-10-19,3681458.8564804187,0.0,3681458.8564804187,18646.15,-0.028732135975547135,1.0
2021-10-20,3557036.3106711707,0.0,3557036.3106711707,18467.75,-0.06155815006827736,1.0
2021-10-21,3504299.8993713856,0.0,3504299.8993713856,18374.09,-0.07547143378440346,1.0
2021-10-22,3483745.304631062,0.0,3483745.304631062,18285.15,-0.08089428871979965,1.0
2021-10-25,3371610.1736135473,0.0,3371610.1736135473,18272.4,-0.11047855230426562,1.0
2021-10-26,3458838.103780008,0.0,3458838.103780008,18425.15,-0.08746547821628059,1.0
2021-10-27,3458912.4740883764,0.0,3458912.4740883764,18390.05,-0.08744585732864563,1.0
2021-10-28,3377034.7797422307,0.0,3377034.7797422307,18028.09,-0.10904739530559215,1.0
2021-10-29,3347862.6504626465,0.0,3347862.6504626465,17880.8,-0.11674378763238702,1.0
2021-11-01,3400757.270909565,1.4551915228366852e-11,3400757.270909565,18134.59,-0.10278876408800375,1.0
2021-11-02,3410262.8766646287,1.4551915228366852e-11,3410262.8766646287,18101.0,-0.10028092962403101,1.0
2021-11-03,3373812.773125862,1.4551915228366852e-11,3373812.773125862,18066.95,-0.10989744731110207,1.0
2021-11-04,3438091.3836796554,1.4551915228366852e-11,3438091.3836796554,18156.15,-0.09293902098911688,1.0
2021-11-08,3437291.0964006768,1.4551915228366852e-11,3437291.0964006768,18320.65,-0.09315015829809192,1.0
2021-11-09,3475947.7626292952,0.0,3475947.7626292952,18309.05,-0.08295149002502822,1.0
2021-11-10,3492863.315290981,0.0,3492863.315290981,18291.75,-0.07848871226680654,1.0
2021-11-11,3503786.452923948,0.0,3503786.452923948,18156.8,-0.07560689476705607,1.0
2021-11-12,3493184.9673264306,0.0,3493184.9673264306,18389.5,-0.07840385180859988,1.0
2021-11-15,3487305.9652736266,0.0,3487305.9652736266,18401.65,-0.07995489067363315,1.0
2021-11-16,3511025.0514747193,0.0,3511025.0514747193,18301.45,-0.07369715777772035,1.0
