symbol,status,merged_rows,kite_rows,gdf_rows_used,anchor_date,rescale_pct,boundary_pct,warn,gdf_rows
JINDALSTEL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.7751937984496027,False,
JIOFIN,no_pre_history,,675.0,,,0.0,,,
JKCEMENT,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.6544894554476599,False,
JKLAKSHMI,gdf_only,,,,,,,,3673.0
JKPAPER,gdf_only,,,,,,,,3672.0
JKTYRE,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.4005340453938633,False,
JLHL,gdf_only,,,,,,,,70.0
JMFINANCIL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-2.494692144373678,False,
JPPOWER,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,3.2258064516129004,False,
JSFB,no_data,,,,,,,,
JSL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,1.0349288486416475,False,
JSLL,gdf_only,,,,,,,,369.0
JSWCEMENT,no_data,,,,,,,,
JSWDULUX,no_data,,,,,,,,
JSWENERGY,stitched,4057.0,1579.0,2478.0,2023-12-29,0.0,-0.43258832011535686,False,
JSWINFRA,no_pre_history,,646.0,,,0.0,,,
JSWSTEEL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.7220885021292256,False,
JUBLFOOD,stitched,4032.0,1579.0,2453.0,2023-12-29,0.0,0.6627125824608227,False,
JUBLINGREA,no_pre_history,,1274.0,,,0.0,,,
JUBLPHARMA,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.8100558659217882,False,
JUSTDIAL,gdf_only,,,,,,,,2614.0
JWL,stitched,3858.0,1579.0,2279.0,2023-12-29,0.0,-1.7006802721088454,False,
JYOTHYLAB,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,1.122448979591839,False,
JYOTICNC,kite_only,,574.0,,,,,,
KAJARIACER,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.06664127951254706,False,
KALYANKJIL,no_pre_history,,1269.0,,,0.0,,,
KANSAINER,gdf_only,,,,,,,,3672.0
KARURVYSYA,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.5976095617529986,False,
KAYNES,no_pre_history,,860.0,,,0.0,,,
KEC,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.8111239860950192,False,
KEI,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,3.6442989634478895,False,
KFINTECH,no_pre_history,,833.0,,,0.0,,,
KIMS,no_pre_history,,1208.0,,,0.0,,,
KIRLOSBROS,stitched,3986.0,1579.0,2407.0,2023-12-29,0.0,-3.546099290780147,False,
KIRLOSENG,stitched,3811.0,1579.0,2232.0,2023-12-29,0.0,2.7260179434092313,False,
KIRLPNU,gdf_only,,,,,,,,170.0
KITEX,gdf_only,,,,,,,,2781.0
KNRCON,gdf_only,,,,,,,,3641.0
KOTAKBANK,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.6085794864182925,False,
KPIGREEN,gdf_only,,,,,,,,603.0
KPIL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.6092360180333767,False,
KPITTECH,stitched,1749.0,1579.0,170.0,2023-12-29,0.0,-2.4012806830309485,False,
KPRMILL,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.3113372313767071,False,
KRBL,gdf_only,,,,,,,,3672.0
KRN,no_data,,,,,,,,
KSB,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.2593553167840046,False,
KSCL,gdf_only,,,,,,,,3673.0
KTKBANK,gdf_only,,,,,,,,3673.0
LALPATHLAB,stitched,2571.0,1579.0,992.0,2023-12-29,-50.00193971369826,2.6446326481842197,True,
LATENTVIEW,no_pre_history,,1108.0,,,0.0,,,
