stop_mode,stop_pct,trail,partial_r,timestop,n,meanR,medR,win,meanRet,hold,era1,era2,era3
structure,0.1,ma50,3.0,40.0,1751,0.35442561792865795,-0.5346987248183033,0.316961736150771,0.024001164929792478,15.0,0.23883964009906303,0.38482728606548716,0.39005482050429646
fixed,0.1,ma50,,,1751,0.3425475926710727,-0.3490305015831974,0.33238149628783553,0.03425475926710726,18.0,0.302396732583474,0.3384659813953959,0.36632729929851565
fixed,0.08,ma50,3.0,,1751,0.33446491253013005,-0.46132346744857144,0.31867504283266707,0.026757193002410393,16.0,0.2759961988857682,0.36694393949510384,0.33917003648880867
fixed,0.08,ma50,3.0,40.0,1751,0.33156331535688083,-0.4597155328461681,0.32267275842375787,0.026525065228550453,16.0,0.2644249194473125,0.36442325482409105,0.3404201049034262
fixed,0.1,ma50,,40.0,1751,0.329925250115105,-0.34215339587629906,0.336950314106225,0.03299252501151049,18.0,0.2921091033062484,0.3319196646170227,0.3477750576025799
structure,0.1,chandelier,,,1751,0.32893145504559335,-0.5188194598300638,0.366076527698458,0.022082476611153937,15.0,0.3320510104055837,0.2556776765377588,0.38438058136895104
structure,0.08,chandelier,,,1751,0.32171141439216994,-0.6043032717398454,0.35465448315248427,0.02051896194795044,14.0,0.3219334421318443,0.26793504745390967,0.3634783037302751
structure,0.1,chandelier,,40.0,1751,0.3213179677537328,-0.5092536725821886,0.3757852655625357,0.021526373281589965,15.0,0.30086241222105964,0.2580913140913127,0.38105414144214633
structure,0.08,chandelier,,40.0,1751,0.31891317264496405,-0.6010593261798387,0.36379211878926326,0.020374975286771367,14.0,0.2933240990783238,0.2738851393238942,0.36711028869752904
fixed,0.1,ma50,3.0,,1751,0.3137448505225465,-0.3452877298391601,0.3340948029697316,0.03137448505225464,18.0,0.27998347654905664,0.3098246220862192,0.3341204977963983
structure,0.1,ma50,2.0,40.0,1751,0.31103672160525647,-0.5232733244801934,0.33352370074243287,0.021071650638218833,15.0,0.21147770895909337,0.3356088760760055,0.34298266538431443
structure,0.1,ma50,2.0,,1751,0.3103008122040818,-0.5247250702455577,0.3300970873786408,0.021098239914306892,15.0,0.21413299403573377,0.33334322816682277,0.3416981253247123
structure,0.08,ma50,2.0,40.0,1751,0.30935070992646885,-0.5804291330034772,0.3289548829240434,0.019794886112084492,15.0,0.18770950199335687,0.3526786491028105,0.3380198587482708
structure,0.06,ma50,3.0,40.0,1751,0.305957901700941,-0.8119520273827099,0.28383780696744715,0.016658210454477594,12.0,0.10432597190945046,0.395152488391816,0.33994865745643016
structure,0.08,ma50,2.0,,1751,0.30587949288919836,-0.5804987267932882,0.32552826956025127,0.01954225520312871,15.0,0.18498288677231878,0.3506793724085579,0.33302025373186583
structure,0.06,ma50,3.0,,1751,0.3048569462878174,-0.8134225139239505,0.2815533980582524,0.016592772784521346,12.0,0.1018201820918232,0.39615859089828975,0.3379275392480251
fixed,0.08,chandelier,,,1751,0.30349824570241984,-0.42295932021221855,0.3797829811536265,0.024279859656193576,16.0,0.32231468157064086,0.2557549210679345,0.33102604059401175
fixed,0.1,ma50,3.0,40.0,1751,0.30270154533144256,-0.3414147138723156,0.33866362078812107,0.030270154533144248,18.0,0.2664219769487414,0.3048047944817544,0.3196781913544573
fixed,0.08,chandelier,,40.0,1751,0.30239110904657457,-0.41573729799687514,0.3906339234723015,0.024191288723725952,16.0,0.29757234928081955,0.26229438968321495,0.3360907187970655
fixed,0.06,ma50,3.0,,1751,0.2895485783954286,-0.7400435959376486,0.28383780696744715,0.01737291470372573,12.0,0.09669090929471401,0.3815673453252354,0.3168378977203566
structure,0.06,chandelier,,,1751,0.28874031900562364,-1.0313333333333317,0.31753283837806967,0.015694715654376624,11.0,0.23248421312117698,0.28009662987710093,0.324336377301663
fixed,0.06,ma50,3.0,40.0,1751,0.28846538332860083,-0.7390970530712695,0.2866933181039406,0.017307922999716067,12.0,0.09919669911234127,0.3721531575990611,0.32040137615824726
structure,0.06,chandelier,,40.0,1751,0.2867202868385214,-1.0313333333333317,0.32438606510565393,0.015569795950369326,11.0,0.22229038533007212,0.2805789399819552,0.32456141611989436
fixed,0.08,chandelier,3.0,,1751,0.2863446327455795,-0.4229591494057425,0.3803540833809252,0.02290757061964635,16.0,0.2731523475427381,0.27181233009887046,0.30443114567006346
fixed,0.08,chandelier,3.0,40.0,1751,0.28623524784940163,-0.4153772376885274,0.39120502569960025,0.022898819827952117,16.0,0.25726173633212585,0.2765871305704884,0.3086151513778381
fixed,0.08,ma50,2.0,40.0,1751,0.2846701508371807,-0.4561206703969161,0.33523700742432894,0.022773612066974445,16.0,0.20542735218692987,0.31028722406886444,0.3053782902325296
fixed,0.08,ma50,2.0,,1751,0.284373470818493,-0.4584697016034867,0.33123929183323814,0.02274987766547943,16.0,0.2085836989130481,0.31233623783137554,0.3014830836643952
fixed,0.1,ma50,2.0,,1751,0.28267081556689894,-0.3414147138723156,0.33866362078812107,0.028267081556689888,18.0,0.24382347790735162,0.2808307636151524,0.3040359821556839
structure,0.1,chandelier,3.0,,1751,0.2825561183547363,-0.5165511179623619,0.36778983438035406,0.019292884244651327,15.0,0.24056348997255897,0.24764316826474442,0.33129213357641
