ext,slope,above_low,near_high,spread,lead,avoid,ext_n,lead_n,mono,era_min,ext_minus_lead
0.3,42,0.3,0.25,0.0669482801446813,0.0394752273667124,-0.027473052777968892,2191,40267,True,0.01925774442812561,0.0439062009967443
0.3,42,0.3,0.3,0.06616237587766566,0.03868932309969676,-0.027473052777968892,2199,40674,True,0.019111704757976758,0.043361313264340416
0.3,42,0.4,0.2,0.07093954322902236,0.043466490451053476,-0.027473052777968892,2167,37024,True,0.024068426593097405,0.04144018262861858
0.3,42,0.4,0.25,0.06901907071206839,0.0415460179340995,-0.027473052777968892,2191,38210,True,0.022399198245999882,0.04183674478859663
0.3,42,0.4,0.3,0.06820812733201648,0.04073507455404758,-0.027473052777968892,2199,38610,True,0.02227400141797363,0.041316108049459434
0.3,63,0.2,0.2,0.0683510852270443,0.04087803244907541,-0.027473052777968892,2110,39349,True,0.0193357290349421,0.048682338590609435
0.3,63,0.2,0.25,0.06673052891011942,0.039257476132150526,-0.027473052777968892,2133,40500,True,0.018024155931496446,0.048632506695619256
0.3,63,0.2,0.3,0.0660231012248027,0.038550048446833816,-0.027473052777968892,2139,40875,True,0.01788725603221973,0.04825704438036649
0.3,63,0.3,0.2,0.06912114555901813,0.04164809278104924,-0.027473052777968892,2110,38499,True,0.020814557659262673,0.047922139033290234
0.3,63,0.3,0.25,0.0674397676377993,0.0399667148598304,-0.027473052777968892,2133,39647,True,0.019405617447601598,0.04793492298985374
0.3,63,0.3,0.3,0.06671650642577738,0.039243453647808485,-0.027473052777968892,2139,40020,True,0.01925096180910774,0.04757537261301773
0.3,63,0.4,0.2,0.07133472025748257,0.04386166747951367,-0.027473052777968892,2110,36540,True,0.024177287926381567,0.04571218052233342
0.3,63,0.4,0.25,0.06944878084365828,0.04197572806568939,-0.027473052777968892,2133,37666,True,0.022522170489577383,0.04593885849290782
0.3,63,0.4,0.3,0.06870074911034589,0.041227696332377,-0.027473052777968892,2139,38035,True,0.02237488139535451,0.04560358124384597
