symbol,pnl_pct,reason,entry_date,exit_date,hold_days
RELIANCE,-0.07501833173399819,rank,2020-07-27,2020-11-14,110
BIOCON,-0.046852584564106126,rank,2020-10-05,2020-12-01,57
IPCALAB,0.5436336890457152,rank,2020-03-09,2020-12-14,280
PIIND,1.085554805756387,rank,2020-03-23,2020-12-28,280
TRENT,0.6093405605849913,rank,2020-03-23,2021-01-11,294
MFSL,0.288549120561989,rank,2020-07-13,2021-01-11,182
ADANIGREEN,1.7715151475315007,atr_stop,2020-07-27,2021-01-18,175
CGPOWER,0.5951003974956073,atr_stop,2020-09-07,2021-01-25,140
SAIL,-0.22752711809790782,atr_stop,2021-01-11,2021-01-25,14
SRF,0.9242971158603488,rank,2020-03-23,2021-01-25,308
IRB,-0.08102576572742837,rank,2020-07-27,2021-01-25,182
NAUKRI,0.6554469567494461,atr_stop,2020-06-01,2021-02-01,245
COFORGE,-0.04777174405554441,rank,2020-12-28,2021-02-08,42
JSL,0.19258079673127426,atr_stop,2020-11-02,2021-02-15,105
IDEA,0.1842799414794387,atr_stop,2020-10-05,2021-02-22,140
TATACONSUM,0.8210935344208303,rank,2020-05-04,2021-02-22,294
BALKRISIND,0.24432423293103245,rank,2020-06-29,2021-02-22,238
GLENMARK,-0.022935126152420326,rank,2020-11-14,2021-02-22,100
PATANJALI,0.060646652172186455,rank,2020-12-14,2021-02-22,70
ESCORTS,0.3010522021080706,rank,2020-06-29,2021-03-08,252
AUROPHARMA,0.05617436135708043,rank,2020-07-13,2021-03-08,238
HAVELLS,-0.0028374766586554134,rank,2021-01-25,2021-03-08,42
MAHABANK,-0.14234031936127745,atr_stop,2021-02-22,2021-03-22,28
ASHOKLEY,-0.051226840995637346,rank,2021-01-25,2021-03-22,56
BEL,-0.08741793393542518,rank,2021-02-08,2021-03-22,42
IDEA,-0.15209764168563,atr_stop,2021-02-22,2021-03-30,36
NAUKRI,-0.12908078104747434,atr_stop,2021-02-08,2021-04-05,56
TATACOMM,0.24909636115460398,rank,2020-08-24,2021-04-05,224
IOB,-0.013217941927239907,rank,2021-02-22,2021-04-05,42
MFSL,0.024830310989931492,rank,2021-02-22,2021-04-05,42
LTIM,-0.03565002264298156,rank,2021-01-11,2021-04-19,98
ADANIGREEN,-0.018544941836382223,atr_stop,2021-01-25,2021-05-03,98
JINDALSTEL,0.9465720467950847,atr_stop,2020-10-05,2021-06-21,259
ATGL,2.4847240973953313,atr_stop,2020-12-01,2021-06-21,202
ADANIENSOL,0.6226744465803804,atr_stop,2021-02-22,2021-06-21,119
ADANIPOWER,0.20521112833465804,atr_stop,2021-03-22,2021-06-21,91
ADANIGREEN,0.04294372441549288,atr_stop,2021-05-03,2021-06-21,49
ATGL,-0.22462478026380073,atr_stop,2021-06-28,2021-07-19,21
TIINDIA,0.047176261964077426,rank,2021-02-22,2021-07-26,154
