index,company_name,spell_from,spell_to,isin,symbol,symbol_from,symbol_to,method,candidates
nse500,Future Consumer Enterprise Ltd.,2011-11-22,2013-06-11,INE220J01017,FUTUREVENT,2011-11-22,2013-06-11,manual-isin,
nse500,Future Retail Ltd.,2003-04-01,2010-09-17,INE623B01027,PANTALOONR,2005-01-03,2010-09-17,manual-symbol,
nse500,Future Retail Ltd.,2011-03-25,2013-04-17,INE623B01027,PANTALOONR,2011-03-25,2013-04-10,manual-symbol,
nse500,Future Retail Ltd.,2011-03-25,2013-04-17,INE623B01027,FRL,2013-04-11,2013-04-17,manual-symbol,
nse500,Future Retail Ltd.,2013-11-18,2015-12-14,INE623B01027,FRL,2013-11-18,2015-12-14,manual-symbol,
nse500,Future Retail Ltd.,2017-03-16,2017-10-30,INE752P01024,FRETAIL,2017-03-16,2017-10-30,manual-symbol,
nse500,GKN Driveshafts Ltd. -Delisted,1998-08-01,2002-09-19,,,,,unresolved,
nse500,GOL Offshore Ltd.,2009-10-22,2014-09-19,INE892H01017,GTOFFSHORE,2009-10-22,2014-09-19,norm-exact,
nse500,GSL Nova Petrochemicals Ltd.,2002-04-23,2007-09-24,INE787A01014,NOVAPETRO,2005-01-03,2007-09-24,manual-symbol,
nse500,Gammon India Ltd.,2002-09-19,2015-09-28,INE259B01020,GAMMONIND,2005-01-03,2015-09-28,norm-exact,
nse500,Gammon Infrastructure Projects Ltd.,2010-04-08,2016-04-01,INE181G01025,GAMMNINFRA,2010-04-08,2016-04-01,manual-symbol,
nse500,Garden Silk Mills Ltd.,1998-08-01,2012-09-28,INE526A01016,GARDENSILK,2005-01-03,2012-09-28,norm-exact,
nse500,Garware Polyester Ltd.,1998-08-01,2001-12-07,,,,,unresolved,
nse500,Garware-Wall Ropes Ltd.,1998-08-01,2002-09-19,,,,,unresolved,
nse500,Gati Ltd.,2012-09-28,2018-09-28,INE152B01027,GATI,2012-09-28,2018-09-28,manual-isin,
nse500,Geodesic Ltd.,2013-04-17,2013-09-27,INE371D01029,GEODESIC,2013-04-17,2013-09-27,norm-exact,
nse500,Geojit BNP Paribas Financial Services Ltd.,2007-04-04,2016-04-01,INE007B01023,GEOJIT,2007-04-04,2009-06-04,manual-isin,
nse500,Geojit BNP Paribas Financial Services Ltd.,2007-04-04,2016-04-01,INE007B01023,GEOJITBNPP,2009-06-05,2016-04-01,manual-isin,
nse500,Geometric Ltd.,2002-03-29,2016-04-01,INE797A01021,GEOMETRIC,2005-01-03,2016-04-01,norm-exact,
nse500,German Remedies Ltd.,1998-08-01,2003-09-05,INE382A01014,,,,isin-only,
